,num,element,oxi_state,min_radius,max_radius
243,50,Sn,0+,1.45,1.45
244,50,Sn,4+,0.69,0.95
245,38,Sr,0+,2.15,2.15
246,38,Sr,2+,1.32,1.58
247,73,Ta,0+,1.46,1.46
248,73,Ta,3+,0.86,0.86
249,73,Ta,4+,0.82,0.82
250,73,Ta,5+,0.78,0.88
251,65,Tb,0+,1.77,1.77
252,65,Tb,3+,1.063,1.235
253,65,Tb,4+,0.9,1.02
254,43,Tc,0+,1.36,1.36
255,43,Tc,4+,0.785,0.785
256,43,Tc,5+,0.74,0.74
257,43,Tc,7+,0.51,0.7
258,52,Te,0+,0.14,0.14
259,52,Te,2-,2.07,2.07
260,52,Te,4+,0.66,1.11
261,52,Te,6+,0.57,0.7
262,90,Th,0+,1.79,1.79
263,90,Th,4+,1.08,1.35
264,22,Ti,0+,1.47,1.47
265,22,Ti,2+,1.0,1.0
266,22,Ti,3+,0.81,0.81
267,22,Ti,4+,0.56,0.88
268,81,Tl,0+,1.71,1.71
269,81,Tl,1+,1.64,1.84
270,81,Tl,3+,0.89,1.12
271,69,Tm,0+,1.76,1.76
272,69,Tm,2+,1.17,1.23
273,69,Tm,3+,1.02,1.192
274,92,U,0+,1.56,1.56
275,92,U,3+,1.165,1.165
276,92,U,4+,1.03,1.31
277,92,U,5+,0.9,0.98
278,92,U,6+,0.59,1.0
279,23,V,0+,1.35,1.35
280,23,V,2+,0.93,0.93
281,23,V,3+,0.78,0.78
282,23,V,4+,0.67,0.86
283,23,V,5+,0.495,0.68
284,74,W,0+,1.39,1.39
285,74,W,4+,0.8,0.8
286,74,W,5+,0.76,0.76
287,74,W,6+,0.56,0.74
288,54,Xe,0+,1.3,1.3
289,54,Xe,8+,0.54,0.62
290,39,Y,0+,1.8,1.8
291,39,Y,3+,1.04,1.215
292,70,Yb,0+,1.76,1.76
293,70,Yb,2+,1.16,1.28
294,70,Yb,3+,1.008,1.182
295,30,Zn,0+,1.34,1.34
296,30,Zn,2+,0.74,1.04
297,40,Zr,0+,1.6,1.6
298,40,Zr,4+,0.73,1.03
299,2,He,0+,1.2,1.2
300,10,Ne,0+,1.6,1.6
301,18,Ar,0+,0.95,0.95
